Review ID,Sentiment,Primary Aspect,Cleaned Text (Lowercased)
1,Mixed,"Food/Restaurant & Staff","lunch meal was very nice. lavish, our waiter was very attentive, sometimes a bit too much. restaurant very nice. thoroughly enjoyable."
2,Positive,"Food/Restaurant & Staff","wonderful experience at cafe resto. always with mr. lavish. the experience at resto is world-class friendly. we would love to visit again and again."
3,Negative,"Overall & Room & Staff","this so-called 5-star hotel barely feels like a 3-star. service is extremely poor. staff is unprofessional. rooms are no better. walls are so thin you can hear everything. worst experience by far. room, bedsheets, towels look and feel cheap. not worth the price or a 5-star experience."
4,Positive,"Staff & Food/Restaurant","thank you ankit for your great service. food was really great at the restaurant. would highly recommend."
5,Positive,"Location & Price & Staff","location is ideal. pricing is reasonable. people (staff) are good."
6,Positive,Room,"great one! rooms are very clean and aesthetic."
7,Positive,Staff,"had a very pleasant experience with the front office team (shruti kashyap)."
8,Mixed,Room,"i found only suite rooms to be spacious."
9,Positive,"Room & Facilities & Location","good looking and very pleasant to stay. ac is also working well. good furniture, nice looking. good maintenance. overall everything is good. adyar anandabavan and kabilar theertham falls/temple are nearby."
10,Negative,"Room & Staff & Booking/Check-in","hotel is very dirty, sticky, and cheap. staff does not understand english. no shower/tv not working. booked executive room but was given a horrible standard room. overall experience is worst."
11,Negative,"Staff/Management & Facilities & Room","wait time of 45 mins for room. tv never worked. frequent water shortages. management is very irresponsible. rooms were pretty unclean. avoid this one if traveling with family."
12,Negative,"Room & Cleanliness","this is a zero star hotel. pretty old. bed bugs everywhere. pillow covers, bed bugs, towels had a bad smell and color. reserve elsewhere."
13,Positive,"Value & Overall & Staff & Location","fantastic value for the money. staff and location were good. overall experience was very positive. comfortable and affordable place to stay."
14,Mixed,"Food/Breakfast & Staff & Room","good hotel. only variety in the breakfast could be increased. ac problem was immediately resolved by changing the room. staff is well-mannered and helpful."
15,Negative,"Room & Service & Facilities","very bad experience for non-ac rooms. very bad room, worst service. no ventilation. dirty fan, runs slowly. plugs are falling, lights not working. no service or change of linens."
16,Negative,"Room & Staff & Service & Cleanliness","rooms are terrible. staff takes too much time for requests. reception person is very annoying. room was dirty, even the second room was dirty. rooms are smelly, bedsheets are dirty, towels are torn."
17,Positive,"Service & Room & Location & Cleanliness & Value","great customer service, great rooms, apt cleanliness, awesome proximity to railway and bus station. best budget stay!"
18,Mixed,"Overall & Room & Staff & Facilities","very good budget hotel for short stay. spacious rooms, neat and clean. staff and manager were very co-operative. only disadvantage is no attached restaurant, but choices are nearby. overall experience is good."
19,Negative,"Facilities & Service & Room/Bathroom & Noise","very basic budget hotel, fairly ok, moderately clean. no restaurant attached (big minus). poor room service for tea/coffee. bathroom needs better lighting and faucet change. too much noise. very basic and budget."
20,Negative,"Booking/Price & Staff","hotel dishonored online booking (rs 1800) and demanded rs 3000 per day at check-in, claiming no availability otherwise. cheap and fraudulent."
21,Negative,"Overall & Food & Management","this is a third-class hotel. food/lunch is not available. no management."
22,Negative,"Management & Staff & Food/Restaurant","very bad management. only two girls in service. restaurant service is very bad. food is very bad. no manager, not proper service."
23,Negative,"Overall & Facilities & Staff & Service","very disappointing stay. worst hotel. ac not working, staff unhelpful. washroom hangers were rusty, room felt outdated. staff unprofessional, refused to honor complimentary beer offer. poor service, lack of maintenance."
24,Negative,"Booking & Staff/Service","called to book 3 rooms. person couldn't understand query, disconnected, and never called back. unprofessional behavior."
25,Negative,"Overall & Room & Facilities","not the best experience. overall environment is pretty dull due to renovation. room was ok. no tea/coffee sachets/kettle in room (only in common area). lights were switched off making ambience gloomy and dull."
26,Positive,"Overall & Staff & Service & Room & Food","good experience. staff was very kind and supportive. service was really good. rooms were neat and clean. food was good too."
27,Mixed,"Noise & Staff","fine, some noise (wedding and barking dogs nearby), but very friendly staff who were always available."
28,Positive,"Overall & Location & Service & Room","beautiful hotel, great location. service attentive to every need. beautiful terrace overlooking the fort. room was spacious and very clean. highly recommend."
29,Positive,"Staff & Room & Facilities","lovely staff, lovely rooms with very functional ac, electricity, and hot water. toilet paper provided. received a gifted food parcel. felt like home."
30,Negative,"Room & Maintenance & Facilities & Value","worst stay ever. lot of mosquitoes (no repellent provided). old rooms with poor maintenance. door locks not proper. blankets are very thin and small. not worth the money."
31,Negative,"Room & Price/Booking & Amenities","crammed building, small internal courtyard. felt claustrophobic. rooms are very small. given a smallish room despite paying for bigger online; asked to pay more for better room. bed was a disaster, hard as a table. would not come back."
32,Positive,"Overall & Staff & Room & Price & Facilities & Location","well known for hospitality. rooms are small and cozy but well-maintained and pocket-friendly. cycles for rent. close to beach and white town, surrounding is good. no lunch/dinner attached. very good experience overall."
33,Positive,"Overall & Room & Staff","amazing stay. room was clean and well maintained. reception guy was very helpful and provided local guidance. totally recommend."
34,Positive,"Location & Room & Food/Breakfast","pretty nearby to beaches and main market. accessible to all places. rooms were clean and simple. breakfast is available only on request."
35,Positive,"Price/Value & Location & Cleanliness & Staff","good budget class hotel. comfortable and safe, worth staying for the price. in the heart of the city, close to important spots. good, clean, and hygienic. hoteliers are very friendly."
36,Negative,"Service & Facilities & Booking/Price","pathetic customer service. they don't take luggage to the room. not a 4-star hotel as advertised (mmt). half of the mentioned things are not available, no in-house restaurant. mmt charged too high. ignore if visiting with family."
37,Positive,"Staff & Cleanliness","very nice people (staff). super helpful. did not disappoint even during a busy weekend. cleanliness is a plus."
38,Mixed,"Room & Facilities/Maintenance","room was clean but bathroom needed more maintenance. no doormat outside the bathroom. overall ok for a night's stay. car parking was not onsite."
39,Positive,"Overall & Location & Room & Staff","best hotel in pondicherry. location, pleasant rooms, and well-appointed staff. enjoyed the environment. received a discount coupon for next stay."
40,Positive,"Overall & Food & Staff","great stay at taj cochin international hotel nearby airport. food was fantastic with lots of options. thanks to sourav, mrinmoy, and manager mr. akshit for taking care of us."
41,Positive,"Overall & Staff & Food","wonderful experience. staff was so polite. food was also awesome. sourav was a good staff member."
42,Positive,"Overall & Room & Staff & Food/Restaurant","excellent stay after a long trip. warm décor, soothing lighting. welcome amenities and room upgrade were thoughtful. sumptuous lunch at vista dining area. elegant restaurant ambience."
43,Negative,"Staff & Room/Bathroom","room was average. washroom was broken and old. front desk staff took phone and forced a 5-star rating on the mmt app. rest of the staff was still good."
44,Negative,"Room & Facilities & Cleanliness & Price/Star Rating","this is a 2-star hotel sold as 4-star. everything in the room is broken. floor is chipped. bathroom has mold and is not properly cleaned. sink leaks. poor wifi connection. do not waste your money."
45,Negative,"Room & Safety & Cleanliness & Staff & Accessibility","very disappointed. rooms are not kid-friendly (unsafe stairs, sharp railings, high bed). low cleanliness (smelly, stained linen/towels). accessibility issues (35-40 stairs to reach room). inexperienced and under-trained staff. location is decent. food is okay."
46,Positive,"Overall & Staff & Amenities","nice accommodation with a scenic view. staff was friendly and everything was well managed. quiet space for working. staff helped with booking activities (trekking, cab)."
47,Negative,"Room & Cleanliness & Food/Breakfast","stay was not good. basic room had 'wear & tear' theme. towels and bed sheets were worn, torn, and stained. prominent dust on furniture. very shabby room. breakfast experience was not good (very limited options)."
48,Negative,"Food/Restaurant & Price/Billing & Service","starter orders were forgotten. charged rs 500 for a dish listed at rs 280, claimed it was a special without prior mention. the bill item was different from the dish. pieces of fish were small. cheats, unethical charging."
49,Mixed,"Room & Food/Restaurant & Facilities","room was comfortable and adequate. dinner: restaurant was empty, most drinks on the menu were unavailable, limited food menu. breakfast: dining room was empty, buffet not out, several items unavailable on the second day. would not stay again."
50,Positive,"Food/Restaurant & Staff","fantastic meal from a team of lovely, very friendly waiters. gave good advice on food. food was really tasty, delicious, and not too spicy."
51,Negative,"Service & Food & Activities & Staff","worst experience. no response from staff for room service. no activities. nobody will assist. expired food products served. scam in food packages: very limited, worst-tasting items included vs. paid food."
52,Negative,"Facilities & Room & Service & Cleanliness & Food","absolutely nothing works. no hot water. lizards infested. bathroom looks horrible. room service takes 1 hour. full of mosquitos in the restaurant. horrible breakfast spread. would never come back."
53,Mixed,"Overall & Location & Ambience","not satisfied. located in the outskirts of the city. resort has good ambience, but no 'wow factor' to visit again."
54,Positive,"Overall & Location/Ambience","excellent place to relax. very close to nature, surrounded by lush greenery, good air. good spot for various types of trips."
55,Negative,"Food & Price & Staff & Maintenance & Activities","resort needs to be improved a lot. food is 3 times costlier and taste is worst. disappointing and unsatisfactory. staffs are not really helpful, slow response time. leaking water in bathroom tap/commode. no activities except pool. complimentrary water bottles not provided until asked. utterly disappointed, worthless."
56,Positive,"Overall & Ambience & Service","amazing experience at chitravana resort. property is simply natural, beautiful art/architecture. service is first class."
57,Positive,"Room & Service & Location","outstanding hotel experience. the room was immaculate with modern amenities. housekeeping service was prompt and thorough. location is perfect for business travelers. close to airport and city center. highly recommend for anyone visiting the area."
58,Positive,"Staff & Facilities & Overall","excellent hospitality from check-in to check-out. concierge team was exceptional, helped us plan our entire itinerary. spa facilities were world-class. pool area was beautifully maintained. this hotel exceeded all expectations."
59,Negative,"Room & Cleanliness & Service","terrible experience. room had a strong musty smell that never went away. carpet was stained and dirty. bathroom tiles were cracked. room service was extremely slow, took over an hour for simple requests. definitely not worth the price paid."
60,Positive,"Food/Restaurant & Staff & Overall","incredible dining experience. the hotel restaurant serves authentic local cuisine. chef personally came to our table to ensure everything was perfect. waitstaff was attentive and knowledgeable about the menu. best meal we had during our entire trip."
61,Mixed,"Room & Facilities & Location","decent hotel for the price. rooms are functional but nothing special. wifi was reliable which was important for work. location is convenient but area can be noisy at night. overall acceptable for a short business stay."
62,Negative,"Staff & Booking & Service","horrible customer service. booking confirmation was wrong, had to wait 2 hours at check-in while they sorted it out. staff was rude and unapologetic. no compensation offered. will never book here again."
63,Positive,"Overall & Room & Location & Value","fantastic value for money. spacious room with comfortable bed. great location near shopping and restaurants. free breakfast was delicious with good variety. would definitely stay here again on our next visit."
64,Positive,"Staff & Service & Room","warm and welcoming staff from the moment we arrived. front desk was very helpful with local recommendations. room was spotless and well-appointed. turn-down service was a nice touch. felt very pampered during our stay."
65,Negative,"Facilities & Room & Cleanliness","disappointing stay. gym equipment was broken. pool was closed for maintenance without prior notice. room had visible dust on surfaces. air conditioning was not working properly. hotel needs major improvements."
66,Positive,"Food/Breakfast & Staff & Overall","breakfast buffet was outstanding with fresh fruits, pastries, and hot items. staff remembered our preferences from day one. overall service was impeccable. this hotel knows how to treat guests right."
67,Negative,"Room & Noise & Staff","worst hotel stay ever. room was right next to elevator, constant noise all night. walls are paper thin, could hear neighbors clearly. complained to staff but nothing was done. got zero sleep. complete waste of money."
68,Positive,"Location & Room & Staff & Value","perfect location for exploring the city. room was modern and comfortable. staff went above and beyond to help with directions and recommendations. great value for the price. would highly recommend to friends and family."
69,Mixed,"Overall & Facilities & Service","hotel has good bones but needs updating. facilities are dated but functional. service was adequate but not exceptional. price was reasonable for what you get. would stay again if needed but not my first choice."
70,Positive,"Staff & Room & Food/Restaurant","exceptional staff service throughout our stay. room was beautifully decorated and very comfortable. restaurant had amazing food with great presentation. special dietary requirements were handled perfectly. truly memorable experience."
71,Negative,"Booking & Room & Service","booking nightmare. website showed room available but upon arrival was told it was overbooked. given a much smaller room as 'upgrade' which was actually a downgrade. staff was unhelpful and dismissive. terrible experience from start to finish."
72,Positive,"Overall & Facilities & Location","wonderful hotel with excellent facilities. fitness center was well-equipped. business center had everything needed. location was perfect for both business and leisure. hotel exceeded expectations in every way."
73,Negative,"Room & Cleanliness & Maintenance","room was in terrible condition. broken furniture, stained carpets, peeling wallpaper. bathroom had mold in corners. maintenance issues everywhere. housekeeping clearly not doing their job properly. unacceptable for any hotel."
74,Positive,"Staff & Service & Overall","outstanding service from every staff member we encountered. they anticipated our needs before we even asked. service was prompt, professional, and friendly. this hotel sets the standard for hospitality excellence."
75,Mixed,"Room & Facilities & Location","room was okay but nothing special. facilities were basic but adequate. location was good but area was quite busy. wifi was reliable which was important. overall decent stay but nothing memorable."
76,Positive,"Food/Restaurant & Staff & Overall","restaurant was exceptional. food quality was outstanding with great variety. staff was knowledgeable about wine pairings. overall dining experience was one of the best we've had. hotel restaurant alone is worth visiting."
77,Negative,"Service & Facilities & Room","poor service throughout. requests were ignored or took forever. facilities were not maintained properly. room had several issues that were never addressed despite complaints. very disappointing experience overall."
78,Positive,"Location & Room & Staff & Value","excellent location in the heart of the city. room was spacious and well-maintained. staff was friendly and helpful. great value for money. would definitely return on future visits."
79,Negative,"Staff & Booking & Room","rude staff from the moment we arrived. booking was messed up and they blamed us. room was not ready at check-in time. had to wait in lobby for over an hour. worst customer service experience ever."
80,Positive,"Overall & Facilities & Staff","amazing hotel with top-notch facilities. spa was luxurious and relaxing. staff was professional and courteous. every detail was perfect. this is how a luxury hotel should be run."
81,Positive,"Room & Service & Location","beautiful room with stunning views. room service was fast and food was hot. location was perfect for sightseeing. hotel provided excellent recommendations for local attractions. wonderful stay overall."
82,Negative,"Cleanliness & Room & Facilities","very dirty hotel. room had not been properly cleaned. found hair in bathroom from previous guests. facilities were run-down and not maintained. would never recommend this place to anyone."
83,Positive,"Staff & Food/Restaurant & Overall","incredible staff who made our anniversary special. restaurant prepared a special meal for us. overall experience was magical. hotel went above and beyond to make our stay memorable."
84,Mixed,"Room & Facilities & Service","room was comfortable but facilities were limited. service was okay but nothing special. location was convenient. price was fair for what you get. acceptable for a short stay but not for longer visits."
85,Positive,"Location & Room & Staff & Value","perfect location near all major attractions. room was clean and comfortable. staff was very accommodating. excellent value for money. would stay here again without hesitation."
86,Negative,"Room & Noise & Service","terrible room with constant noise from street. service was slow and unresponsive. complaints were ignored. got very little sleep due to noise. complete waste of money and time."
87,Positive,"Overall & Facilities & Staff","outstanding hotel experience. facilities were modern and well-maintained. staff was exceptional in every way. hotel clearly invests in training their employees. best hotel stay we've ever had."
88,Positive,"Food/Breakfast & Room & Staff","breakfast was delicious with fresh ingredients. room was spotless and comfortable. staff was attentive and friendly. great way to start each day. highly recommend this hotel."
89,Negative,"Booking & Room & Service","booking was a disaster. room type was different from what was booked. service was terrible when we complained. staff was unhelpful and rude. will never use this hotel again."
90,Positive,"Staff & Room & Overall","wonderful staff who made us feel at home. room was beautifully decorated and very comfortable. overall experience was excellent. hotel has a great team working there."
91,Positive,"Location & Facilities & Staff","excellent location with easy access to everything. facilities were top-quality. staff was professional and helpful. hotel exceeded all our expectations. would definitely return."
92,Negative,"Room & Cleanliness & Maintenance","room was in poor condition. many things were broken or not working. cleanliness was substandard. maintenance issues were everywhere. hotel needs major renovation and better housekeeping."
93,Positive,"Food/Restaurant & Staff & Overall","restaurant was amazing with creative menu. staff was knowledgeable and friendly. overall dining experience was exceptional. hotel restaurant is a destination in itself."
94,Mixed,"Room & Facilities & Location","room was adequate but nothing special. facilities were basic. location was okay but not ideal. service was acceptable. price was reasonable. would stay again if needed but not preferred choice."
95,Positive,"Overall & Staff & Service","excellent hotel with outstanding service. staff was professional and courteous. service was prompt and efficient. hotel clearly values customer satisfaction. highly recommend to everyone."
96,Negative,"Service & Room & Facilities","poor service throughout stay. room had issues that were never fixed. facilities were not as advertised. complaints were ignored. very disappointing experience. would not recommend."
97,Positive,"Location & Room & Staff","great location for exploring the area. room was clean and comfortable. staff was helpful with local information. hotel provided good value for money. enjoyed our stay."
98,Positive,"Staff & Food/Restaurant & Overall","amazing staff who remembered our names. restaurant food was exceptional. overall experience was wonderful. hotel creates a warm and welcoming atmosphere. would definitely return."
99,Negative,"Room & Noise & Cleanliness","room was noisy due to thin walls. cleanliness was questionable. found issues that should have been addressed. hotel needs better soundproofing and housekeeping standards."
100,Positive,"Overall & Facilities & Staff","outstanding hotel with excellent facilities. staff was exceptional in every interaction. hotel clearly prioritizes guest satisfaction. best hotel experience we've had in a long time."
